Element 1,Element 2,Result
Rotate Body 180 (Backside),Nollie ,Nollie Backside 
Rotate Body 180 (Frontside),Nollie ,Nollie Frontside 
Rotate Body 180 (Backside),Nollie 180 Backside ,Nollie 360 Backside 
Rotate Body 180 (Frontside),Nollie 180 Frontside ,Nollie 360 Frontside 
Nollie,Spin Skate 180 (Backside),Nollie Varial
Nollie Varial,Nollie Varial,Nollie 360 Varial
Nollie 360 Varial,Nollie Varial,Nollie 540 Varial
Nollie 540 Varial,Nollie Varial,Nollie 720 Varial
Nollie 720 Varial,Nollie Varial,Nollie 900 Varial
Rotate Body 180 (Backside),Nollie Varial,Nollie Backside Bigspin
Nollie Backside Bigspin,Nollie Varial,Nollie Backside Biggerspin
Rotate Body 180 (Backside),Nollie Backside Biggerspin,Nollie Backside Gazelle Spin
Nollie,Spin Skate 180 (Frontside),Nollie Pop Shovit
Nollie Pop Shovit,Nollie Pop Shovit,Nollie 360 Pop Shovit
Nollie 360 Shovit,Nollie Pop Shovit,Nollie 540 Pop Shovit
Nollie 540 Shovit,Nollie Pop Shovit,Nollie 720 Pop Shovit
Nollie 720 Shovit,Nollie Pop Shovit,Nollie 900 Pop Shovit
Rotate Body 180 (Frontiside),Nollie Pop Shovit,Nollie Frontside Bigpin
Nollie Frontside Bigpin,Nollie Pop Shovit,Nollie Frontside Biggerspin
Rotate Body 180 (Frontside),Nollie Frontside Biggerspin,Nollie Frontside Gazelle Spin
Kick,Pop Nose,Nollie Flip
Nollie Flip,Nollie Flip,Nollie Double Flip
Nollie Double Flip,Nollie Flip,Nollie Triple Flip
Nollie Triple Flip,Nollie Flip,Nollie Quadruple Flip
Rotate Body 180 (Backside),Nollie Flip,Nollie Backside Flip
Nollie Backside Flip ,Nollie Flip,Nollie Backside Double Flip
Nollie Double Backside Flip,Nollie Flip,Nollie Backside Triple Flip
Nollie Triple Backside Flip,Nollie Flip,Nollie Backside Quadruple Flip
Rotate Body 180 (Frontside),Nollie Flip,Nollie Frontside Flip
Nollie Frontside Flip ,Nollie Flip,Nollie Frontside Double Flip
Nollie Double Frontside Flip,Nollie Flip,Nollie Frontside Triple Flip
Nollie Triple Frontside Flip,Nollie Flip,Nollie Frontside Quadruple Flip
Nollie Flip,Nollie Varial,Nollie Varial Flip
Nollie Varial Flip,Spin Skate 180 (Backside),Nollie 360 Flip
Nollie 360 Flip,Nollie Flip,Nollie 360 Double Flip
Nollie 360 Double Flip,Nollie Flip,Nollie 360 Triple Flip
Nollie 360 Triple Flip,Nollie Flip,Nollie 360 Quadruple Flip
Nollie 360 Flip,Spin Skate 180 (Backside),Nollie 540 Flip
Nollie 540 Flip,Nollie Flip,Nollie 540 Double Flip
Nollie 540 Double Flip,Nollie Flip,Nollie 540 Triple Flip
Nollie 540 Triple Flip,Nollie Flip,Nollie 540 Quadruple Flip
Nollie 540 Flip,Spin Skate 180 (Backside),Nollie 720 Flip
Nollie 720 Flip,Nollie Flip,Nollie 720 Double Flip
Nollie 720 Double Flip,Nollie Flip,Nollie 720 Triple Flip
Nollie 720 Triple Flip,Nollie Flip,Nollie 720 Quadruple Flip
Nollie 720 Flip,Spin Skate 180 (Backside),Nollie 900 Flip
Nollie 900 Flip,Nollie Flip,Nollie 900 Double Flip
Nollie 900 Double Flip,Nollie Flip,Nollie 900 Triple Flip
Nollie 900 Triple Flip,Nollie Flip,Nollie 900 Quadruple Flip
Nollie Flip,Nollie Pop Shovit,Nollie Hardflip
Nollie Hardflip,Nollie Flip,Nollie Double Hardflip
Nollie Double Hardflip,Nollie Flip,Nollie Triple Hardflip
Nollie Triple Hardflip,Nollie Flip,Nollie Quadruple Hardflip
Rotate Body 180 (Backside),Nollie Hardflip,Nollie Backside Ghetto Bird
Rotate Body 180 (Frontside),Nollie Hardflip,Nollie Frontside Ghetto Bird
Nollie Hardflip,Spin Skate 180 (Frontside),Nollie 360 Hardflip
Nollie 360 Hardflip,Nollie Flip,Nollie 360 Double Hardflip
Nollie 360 Double Hardflip,Nollie Flip,Nollie 360 Triple Hardflip
Nollie 360 Triple Hardflip,Nollie Flip,Nollie 360 Quadruple Hardflip
Heel,Pop Nose,Nollie Heelflip
Nollie Heelflip,Nollie Heelflip,Nollie Double Heelflip
Nollie Double Heelflip,Nollie Heelflip,Nollie Triple Heelflip
Nollie Triple Heelflip,Nollie Heelflip,Nollie Quadruple Heelflip
Nollie Heelflip,Nollie Heelflip,Nollie Double Heelflip
Rotate Body 180 (Backside),Nollie Heelflip,Nollie Backside Heelflip
Nollie Backside Heelflip ,Nollie Heelflip,Nollie Backside Double Heelflip
Nollie Double Backside Heelflip,Nollie Heelflip,Nollie Backside Triple Heelflip
Nollie Triple Backside Heelflip,Nollie Heelflip,Nollie Backside Quadruple Heelflip
Rotate Body 180 (Frontside),Nollie Heelflip,Nollie Frontside Heelflip
Nollie Frontside Heelflip ,Nollie Heelflip,Nollie Frontside Double Heelflip
Nollie Double Frontside Heelflip,Nollie Heelflip,Nollie Frontside Triple Heelflip
Nollie Triple Frontside Heelflip,Nollie Heelflip,Nollie Frontside Quadruple Heelflip
Nollie Pop Shovit,Nollie Heelflip,Nollie Shovit Heelflip
Nollie Shovit Heelflip,Nollie Pop Shovit,Nollie Lazer Flip
Nollie Lazer Flip,Nollie Heelflip,Nollie Lazer Double Flip
Nollie Lazer Double Flip,Nollie Heelflip,Nollie Lazer Triple Flip
Nollie Lazer Triple Flip,Nollie Heelflip,Nollie Lazer Quadruple Flip
Nollie Heelflip,Nollie Varial,Nollie Inward Heelflip
Nollie Inward Heelflip,Nollie Heelflip,Nollie Double Inward Heelflip
Nollie Double Inward Heelflip,Nollie Heelflip,Nollie Triple Inward Heelflip
Nollie Triple Inward Heelflip,Nollie Heelflip,Nollie Quadruple Inward Heelflip
Nollie Inward Heelflip,Spin Skate 180 (Frontside),Nollie 360 Inward Heelflip
Nollie 360 Inward Heelflip,Nollie Heelflip,Nollie 360 Double Inward Heelflip
Nollie 360 Double Inward Heelflip,Nollie Heelflip,Nollie 360 Triple Inward Heelflip
